replicate,r2,status
833,-0.07729254946594644,ok
834,-0.06913121787060872,ok
835,-0.1199223967615155,ok
836,-0.09331486427113633,ok
837,-0.10743453827457072,ok
838,-0.06341469169232528,ok
839,-0.08581984147659383,ok
840,-0.08326783295863294,ok
841,-0.05225355877333615,ok
842,-0.08180816742105756,ok
843,-0.13036709153432424,ok
844,-0.13826281416044095,ok
845,-0.07487949204573474,ok
846,-0.08713305514207237,ok
847,-0.07662909207565383,ok
848,-0.12580565328815818,ok
849,-0.07481151305514921,ok
850,-0.09690963279605436,ok
851,-0.07006458071296784,ok
852,-0.08170843539638173,ok
853,-0.08980100020653214,ok
854,-0.10032860942999622,ok
855,-0.06926245899324579,ok
856,-0.05396635881557876,ok
857,-0.098182043743686,ok
858,-0.08986643452025733,ok
859,-0.09206396263203098,ok
860,-0.127014037397712,ok
861,-0.08853739399000982,ok
862,-0.1000626424283162,ok
863,-0.07159669046529493,ok
864,-0.11407304191819456,ok
865,-0.09908245637774193,ok
866,-0.0954502831435875,ok
867,-0.06068810157088844,ok
868,-0.03856361934692476,ok
869,-0.07259010549038525,ok
870,-0.1192070176004254,ok
871,-0.07464308737260561,ok
872,-0.08001150852833638,ok
873,-0.07952261653690029,ok
874,-0.07699070064734048,ok
875,-0.12300342966722155,ok
876,-0.07104049974489501,ok
877,-0.09515809580186652,ok
878,-0.10818390677105949,ok
879,-0.05156521030790251,ok
880,-0.04669909595485655,ok
881,-0.10080582749148048,ok
882,-0.11840347220411318,ok
883,-0.08015967309986305,ok
884,-0.0984193148900343,ok
885,-0.1070200490692661,ok
886,-0.0799951299386421,ok
887,-0.12268108200274108,ok
888,-0.13125501252967253,ok
889,-0.11140266841489344,ok
890,-0.06341125048986673,ok
891,-0.12164288580172555,ok
892,-0.08742630527718398,ok
893,-0.09062630602519617,ok
894,-0.09864774010655397,ok
895,-0.11706476930715182,ok
896,-0.09714325144607283,ok
897,-0.08416859174412261,ok
898,-0.08869321896637783,ok
899,-0.09224152766457494,ok
900,-0.1373156635837367,ok
901,-0.02737598861862911,ok
902,-0.12171461649371995,ok
903,-0.09319210333002892,ok
904,-0.04350790464896104,ok
905,-0.11004895841344164,ok
906,-0.061934640151657394,ok
907,-0.08470821793876837,ok
908,-0.07520067591753699,ok
909,-0.11305496070143439,ok
910,-0.11779579570216314,ok
911,-0.08955186155104111,ok
912,-0.1179327620695334,ok
913,-0.13552832544045113,ok
914,-0.13248710983210255,ok
915,-0.08655068166181157,ok
916,-0.0966948909059282,ok
917,-0.0961570050538001,ok
918,-0.11791156587962792,ok
919,-0.12562559882030655,ok
920,-0.13248598630656616,ok
921,-0.11454094615230415,ok
922,-0.05507083054925821,ok
923,-0.13538229233928578,ok
924,-0.05380848144421657,ok
925,-0.12468483890439286,ok
926,-0.10480070804289054,ok
927,-0.11506354760375537,ok
928,-0.09492910319801862,ok
929,-0.10474307493314261,ok
930,-0.13262949908651533,ok
