response_row,target_gene,culture_condition,response_edges,matched_response_genes,unmatched_response_genes,matched_fraction
12210,SP3,Stim8hr,13,7,6,0.5384615384615384
12211,SP4,Rest,11,7,4,0.6363636363636364
12212,SP4,Stim48hr,4,1,3,0.25
12213,SP4,Stim8hr,21,12,9,0.5714285714285714
12248,SPEN,Rest,20,12,8,0.6
12249,SPEN,Stim48hr,25,15,10,0.6
12250,SPEN,Stim8hr,5,2,3,0.4
12328,SREBF2,Rest,6,2,4,0.3333333333333333
12329,SREBF2,Stim48hr,92,55,37,0.5978260869565217
12330,SREBF2,Stim8hr,11,3,8,0.2727272727272727
12475,STAT1,Rest,17,14,3,0.8235294117647058
12476,STAT1,Stim48hr,1,0,1,0.0
12477,STAT1,Stim8hr,45,33,12,0.7333333333333333
12478,STAT2,Rest,42,30,12,0.7142857142857143
12479,STAT2,Stim48hr,20,14,6,0.7
12480,STAT2,Stim8hr,32,24,8,0.75
12481,STAT3,Rest,924,512,412,0.5541125541125541
12482,STAT3,Stim48hr,1592,981,611,0.6162060301507538
12483,STAT3,Stim8hr,1369,869,500,0.6347699050401753
12487,STAT5A,Rest,8,4,4,0.5
12488,STAT5A,Stim48hr,260,172,88,0.6615384615384615
12489,STAT5A,Stim8hr,18,10,8,0.5555555555555556
12490,STAT6,Rest,2,2,0,1.0
12491,STAT6,Stim48hr,1127,657,470,0.582963620230701
12492,STAT6,Stim8hr,232,167,65,0.7198275862068966
12639,SUPT3H,Rest,558,277,281,0.496415770609319
12640,SUPT3H,Stim48hr,1,0,1,0.0
12799,TBC1D22A,Rest,2,1,1,0.5
12800,TBC1D22A,Stim48hr,2,0,2,0.0
12801,TBC1D22A,Stim8hr,2,1,1,0.5
12848,TBPL1,Rest,23,10,13,0.43478260869565216
12849,TBPL1,Stim48hr,57,29,28,0.5087719298245614
12850,TBPL1,Stim8hr,25,14,11,0.56
12854,TBX21,Rest,39,28,11,0.717948717948718
12855,TBX21,Stim48hr,402,246,156,0.6119402985074627
12856,TBX21,Stim8hr,307,200,107,0.6514657980456026
