target_gene,culture_condition,secondary_factor,resource_type,matched_cases,observed_delta,null_mean,null_low,null_high,p_value,status,q_value,supported_enrichment
SP3,Stim48hr,HIF1A,motif,89,-0.011235955056179778,-0.0014337078651685386,-0.0651685393258427,0.0696629213483146,0.8371628371628371,estimable,1.0,False
SP3,Stim48hr,HIF1A,signed_curated,89,0.006741573033707866,-0.00013483146067415735,-0.006741573033707866,0.020224719101123598,1.0,estimable,1.0,False
SP3,Stim48hr,USF1,motif,89,0.024719101123595502,-0.00018426966292134622,-0.056179775280898875,0.0651685393258427,0.5024975024975025,estimable,1.0,False
SP3,Stim48hr,USF1,signed_curated,89,-0.0022471910112359553,5.8426966292134496e-05,-0.0022471910112359553,0.011235955056179775,1.0,estimable,1.0,False
SP3,Stim8hr,CEBPB,motif,7,-0.02857142857142858,-0.00028571428571428313,-0.19999999999999998,0.31428571428571433,1.0,underpowered,1.0,False
SP3,Stim8hr,CEBPB,signed_curated,7,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
SP3,Stim8hr,CREB1,motif,7,-0.08571428571428573,0.0063428571428571405,-0.2571428571428571,0.2571428571428572,1.0,underpowered,1.0,False
SP3,Stim8hr,CREB1,signed_curated,7,-0.028571428571428574,0.0019428571428571368,-0.028571428571428574,0.14285714285714285,1.0,underpowered,1.0,False
SP3,Stim8hr,EGR1,motif,7,0.1142857142857143,-5.714285714286049e-05,-0.05714285714285715,0.2857142857142857,0.2977022977022977,underpowered,1.0,False
SP3,Stim8hr,EGR1,signed_curated,7,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
SP3,Stim8hr,HIF1A,motif,7,-0.05714285714285715,-0.004342857142857145,-0.05714285714285715,0.2857142857142857,1.0,underpowered,1.0,False
SP3,Stim8hr,HIF1A,signed_curated,7,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
SP3,Stim8hr,USF1,motif,7,0.08571428571428573,0.0035999999999999956,-0.08571428571428573,0.2571428571428572,1.0,underpowered,1.0,False
SP3,Stim8hr,USF1,signed_curated,7,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Rest,CEBPB,motif,2,-0.1,-0.007599999999999998,-0.1,0.5,1.0,underpowered,1.0,False
USF1,Rest,CEBPB,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Rest,CREB1,motif,2,0.30000000000000004,0.01979999999999999,-0.30000000000000004,0.9,1.0,underpowered,1.0,False
USF1,Rest,CREB1,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Rest,EGR1,motif,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Rest,EGR1,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Rest,HIF1A,motif,2,0.4,0.015400000000000006,-0.2,1.0,0.3246753246753247,underpowered,1.0,False
USF1,Rest,HIF1A,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Rest,SP3,motif,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Rest,SP3,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim48hr,CEBPB,motif,6,-0.06666666666666667,-0.003666666666666664,-0.06666666666666667,0.3333333333333333,1.0,underpowered,1.0,False
USF1,Stim48hr,CEBPB,signed_curated,6,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim48hr,CREB1,motif,6,0.06666666666666668,-0.0009333333333333301,-0.13333333333333333,0.26666666666666666,1.0,underpowered,1.0,False
USF1,Stim48hr,CREB1,signed_curated,6,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim48hr,EGR1,motif,6,-0.03333333333333333,-0.0015333333333333314,-0.03333333333333333,0.16666666666666666,1.0,underpowered,1.0,False
USF1,Stim48hr,EGR1,signed_curated,6,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim48hr,HIF1A,motif,6,0.3,-7.993605777301126e-18,-0.10000000000000002,0.3,0.08491508491508491,underpowered,1.0,False
USF1,Stim48hr,HIF1A,signed_curated,6,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim48hr,SP3,motif,6,-0.06666666666666667,-0.002066666666666664,-0.06666666666666667,0.13333333333333333,1.0,underpowered,1.0,False
USF1,Stim48hr,SP3,signed_curated,6,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim8hr,CEBPB,motif,5,-0.08,-0.005839999999999999,-0.08,0.16,1.0,underpowered,1.0,False
USF1,Stim8hr,CEBPB,signed_curated,5,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim8hr,CREB1,motif,5,0.04,0.0003999999999999995,-0.2,0.28,1.0,underpowered,1.0,False
USF1,Stim8hr,CREB1,signed_curated,5,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim8hr,EGR1,motif,5,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim8hr,EGR1,signed_curated,5,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim8hr,HIF1A,motif,5,0.08,0.0005599999999999992,-0.16,0.32,1.0,underpowered,1.0,False
USF1,Stim8hr,HIF1A,signed_curated,5,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
USF1,Stim8hr,SP3,motif,5,-0.04,-0.0008799999999999981,-0.04,0.2,1.0,underpowered,1.0,False
USF1,Stim8hr,SP3,signed_curated,5,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
