culture_condition,model,dose,relative_log1p_downstream,knots,breakpoint,hill_exponent,hill_half
Rest,spline,0.5601041802382318,0.3154985077965308,5.0,,,
Rest,spline,0.5690816459476555,0.3250207008649626,5.0,,,
Rest,spline,0.5780591116570795,0.334424560981351,5.0,,,
Rest,spline,0.5870365773665032,0.34370810657414147,5.0,,,
Rest,spline,0.5960140430759271,0.3528693560717803,5.0,,,
Rest,spline,0.604991508785351,0.3619063279027131,5.0,,,
Rest,spline,0.6139689744947747,0.37081704049538555,5.0,,,
Rest,spline,0.6229464402041986,0.37959951227824396,5.0,,,
Rest,spline,0.6319239059136226,0.3882517616797339,5.0,,,
Rest,spline,0.6409013716230463,0.39677180712830107,5.0,,,
Rest,spline,0.6498788373324702,0.4051576670523917,5.0,,,
Rest,spline,0.6588563030418941,0.4134073598804515,5.0,,,
Rest,spline,0.6678337687513178,0.4215189040409261,5.0,,,
Rest,spline,0.6768112344607418,0.4294903179622618,5.0,,,
Rest,spline,0.6857887001701655,0.43731962007290387,5.0,,,
Rest,spline,0.6947661658795894,0.44500482880129877,5.0,,,
Rest,spline,0.7037436315890133,0.45254396257589213,5.0,,,
Rest,spline,0.712721097298437,0.45993503982512957,5.0,,,
Rest,spline,0.721698563007861,0.4671760789774573,5.0,,,
Rest,spline,0.7306760287172849,0.47426509846132103,5.0,,,
Rest,spline,0.7396534944267086,0.48120011670516644,5.0,,,
Rest,spline,0.7486309601361325,0.4879791521374397,5.0,,,
Rest,spline,0.7576084258455562,0.49460022318658636,5.0,,,
Rest,spline,0.7665858915549801,0.5010613482810526,5.0,,,
Rest,spline,0.7755633572644041,0.5073605458492841,5.0,,,
Rest,spline,0.7845408229738278,0.5134958343197267,5.0,,,
Rest,spline,0.7935182886832517,0.5194652321208263,5.0,,,
Rest,spline,0.8024957543926756,0.5252667576810288,5.0,,,
Rest,spline,0.8114732201020993,0.5308984294287798,5.0,,,
Rest,spline,0.8204506858115233,0.5363582657925257,5.0,,,
Rest,spline,0.8294281515209472,0.5416442852007117,5.0,,,
Rest,spline,0.8384056172303709,0.546754506081784,5.0,,,
Rest,spline,0.8473830829397948,0.5516869468641886,5.0,,,
Rest,spline,0.8563605486492185,0.5564396259763711,5.0,,,
Rest,spline,0.8653380143586424,0.5610105618467774,5.0,,,
Rest,spline,0.8743154800680664,0.5653977729038535,5.0,,,
